session_id,input_sequence,next_field,input_sequence_ids,next_field_id
SESSION-0018F053,physical_address,gender,[23],11
SESSION-0018F053,physical_address | gender,contact_phone_number,"[23, 11]",5
SESSION-0018F053,physical_address | gender | contact_phone_number,identification_document,"[23, 11, 5]",13
SESSION-0018F053,physical_address | gender | contact_phone_number | identification_document,date_of_birth,"[23, 11, 5, 13]",7
SESSION-0018F053,physical_address | gender | contact_phone_number | identification_document | date_of_birth,full_name,"[23, 11, 5, 13, 7]",10
SESSION-0018F053,physical_address | gender | contact_phone_number | identification_document | date_of_birth | full_name,email_address,"[23, 11, 5, 13, 7, 10]",8
SESSION-0018F053,physical_address | gender | contact_phone_number | identification_document | date_of_birth | full_name | email_address,subscriber_type,"[23, 11, 5, 13, 7, 10, 8]",30
SESSION-0018F053,physical_address | gender | contact_phone_number | identification_document | date_of_birth | full_name | email_address | subscriber_type,paperless_billing_preference,"[23, 11, 5, 13, 7, 10, 8, 30]",20
SESSION-0018F053,physical_address | gender | contact_phone_number | identification_document | date_of_birth | full_name | email_address | subscriber_type | paperless_billing_preference,service_type,"[23, 11, 5, 13, 7, 10, 8, 30, 20]",27
SESSION-0018F053,physical_address | gender | contact_phone_number | identification_document | date_of_birth | full_name | email_address | subscriber_type | paperless_billing_preference | service_type,internet_service_selection,"[23, 11, 5, 13, 7, 10, 8, 30, 20, 27]",17
SESSION-0018F053,physical_address | gender | contact_phone_number | identification_document | date_of_birth | full_name | email_address | subscriber_type | paperless_billing_preference | service_type | internet_service_selection,streaming_addons_selection,"[23, 11, 5, 13, 7, 10, 8, 30, 20, 27, 17]",28
SESSION-0018F053,physical_address | gender | contact_phone_number | identification_document | date_of_birth | full_name | email_address | subscriber_type | paperless_billing_preference | service_type | internet_service_selection | streaming_addons_selection,payment_method,"[23, 11, 5, 13, 7, 10, 8, 30, 20, 27, 17, 28]",21
SESSION-0018F053,physical_address | gender | contact_phone_number | identification_document | date_of_birth | full_name | email_address | subscriber_type | paperless_billing_preference | service_type | internet_service_selection | streaming_addons_selection | payment_method,contract_type,"[23, 11, 5, 13, 7, 10, 8, 30, 20, 27, 17, 28, 21]",6
SESSION-0018F053,physical_address | gender | contact_phone_number | identification_document | date_of_birth | full_name | email_address | subscriber_type | paperless_billing_preference | service_type | internet_service_selection | streaming_addons_selection | payment_method | contract_type,subscriber_number,"[23, 11, 5, 13, 7, 10, 8, 30, 20, 27, 17, 28, 21, 6]",29
SESSION-0043E042,home_address,mobile_phone_number,[12],18
SESSION-0043E042,home_address | mobile_phone_number,email_address,"[12, 18]",8
SESSION-0043E042,home_address | mobile_phone_number | email_address,date_of_birth,"[12, 18, 8]",7
SESSION-0043E042,home_address | mobile_phone_number | email_address | date_of_birth,full_name,"[12, 18, 8, 7]",10
SESSION-0043E042,home_address | mobile_phone_number | email_address | date_of_birth | full_name,identification_document_type,"[12, 18, 8, 7, 10]",15
SESSION-0043E042,home_address | mobile_phone_number | email_address | date_of_birth | full_name | identification_document_type,selfie_liveness_check,"[12, 18, 8, 7, 10, 15]",26
SESSION-0043E042,home_address | mobile_phone_number | email_address | date_of_birth | full_name | identification_document_type | selfie_liveness_check,identification_document_number,"[12, 18, 8, 7, 10, 15, 26]",14
SESSION-0043E042,home_address | mobile_phone_number | email_address | date_of_birth | full_name | identification_document_type | selfie_liveness_check | identification_document_number,face_match_verification,"[12, 18, 8, 7, 10, 15, 26, 14]",9
SESSION-0043E042,home_address | mobile_phone_number | email_address | date_of_birth | full_name | identification_document_type | selfie_liveness_check | identification_document_number | face_match_verification,income,"[12, 18, 8, 7, 10, 15, 26, 14, 9]",16
SESSION-0043E042,home_address | mobile_phone_number | email_address | date_of_birth | full_name | identification_document_type | selfie_liveness_check | identification_document_number | face_match_verification | income,profession,"[12, 18, 8, 7, 10, 15, 26, 14, 9, 16]",25
SESSION-0043E042,home_address | mobile_phone_number | email_address | date_of_birth | full_name | identification_document_type | selfie_liveness_check | identification_document_number | face_match_verification | income | profession,politically_exposed_person_status,"[12, 18, 8, 7, 10, 15, 26, 14, 9, 16, 25]",24
SESSION-0043E042,home_address | mobile_phone_number | email_address | date_of_birth | full_name | identification_document_type | selfie_liveness_check | identification_document_number | face_match_verification | income | profession | politically_exposed_person_status,us_person_status,"[12, 18, 8, 7, 10, 15, 26, 14, 9, 16, 25, 24]",32
SESSION-0043E042,home_address | mobile_phone_number | email_address | date_of_birth | full_name | identification_document_type | selfie_liveness_check | identification_document_number | face_match_verification | income | profession | politically_exposed_person_status | us_person_status,business_relationship_nature,"[12, 18, 8, 7, 10, 15, 26, 14, 9, 16, 25, 24, 32]",2
